sana,n
kasvain,5
kauppa,5
kaupunkiympäristö,5
kenttä,5
kesä,5
kesken,5
kiinni,5
kognitio,5
kohderyhmä,5
kommunikaatio,5
kompleksisuus,5
konkreettinen,5
koostumus,5
korkea,5
kotaa,5
kotimainen,5
kua,5
kukin,5
kulkea,5
kulua,5
kulutus,5
kunto,5
kuolla,5
kuolleisuus,5
kyetä,5
lääkeaine,5
läheinen,5
lähiö,5
laittaa,5
lihavuus,5
liikunna,5
lukija,5
luoa,5
luokka,5
luonne,5
luonnonsuojelu,5
maahanmuutto,5
maailmankuva,5
maailmansota,5
mainita,5
melkein,5
mielipide,5
mikään,5
miljoona,5
mittaaminen,5
monikielisyys,5
monimuotoinen,5
moraalinen,5
muistisairauksi,5
muisto,5
mukava,5
muotoilu,5
murros,5
muualla,5
netti,5
nimi,5
nivelrikko,5
oikein,5
olettaa,5
opetta,5
opetussuunnitelma,5
oppima,5
orgaaninen,5
osapuoli,5
otsikko,5
päästö,5
paine,5
palata,5
palvelus,5
parkinsonia,5
pelillinen,5
piirre,5
planeetta,5
pohjautua,5
polarisaatio,5
prosessointi,5
puhuja,5
puolustusjärjestelmä,5
puute,5
raskaus,5
rauha,5
ravinto,5
rekisteri,5
relevantti,5
resilienssi,5
riippua,5
riittävyys,5
rikosprosessi,5
rooma,5
saaminen,5
saatavuus,5
säätiö,5
säilyä,5
sairaanhoitaja,5
segregaatio,5
seksuaalirikos,5
selviytyminen,5
sisältyä,5
som,5
sosiaaliala,5
sosioekonominen,5
soveltaminen,5
strategia,5
strateginentutkimus,5
subjektiivinen,5
sujuvuus,5
suojata,5
suomalaisuus,5
suorittaa,5
synty,5
taistelu,5
tärkeys,5
tavoittaa,5
täyttää,5
tekeillä,5
teos,5
termi,5
terveyspolitiikka,5
terveystieto,5
tiedepääoma,5
tiedeviestintä,5
tieteenalo,5
tieteentekijöi,5
toisin,5
toivo,5
torjunta,5
tulehdus,5
tulkita,5
tuntematon,5
turvapaikanhakija,5
tutkittutieto,5
tutkitusti,5
twitterinen,5
työkuormitus,5
työllistyminen,5
työnteko,5
työpaikoi,5
työturvallisuus,5
työyhteisö,5
uhanalainen,5
uhri,5
ulkopuolinen,5
ulos,5
urheilu,5
uudelleen,5
uudistuminen,5
vähä,5
vahvuus,5
vaikuttava,5
vallankäyttö,5
vallata,5
valmistune,5
vammainen,5
vapaa,5
varmistaminen,5
video,5
viestinnä,5
voimavara,5
yhdistäminen,5
yhdiste,5
yhteiskehittäminen,5
yhteisöllisyys,5
ylläpitää,5
ylpeä,5
aamu,4
aidosti,4
aihetunniste,4
aikakaud,4
aikuissosiaalityö,4
ainutlaatuinen,4
aivoperustaa,4
aivoterveys,4
aktiivisesti,4
aktivismi,4
aktiviteetti,4
alustatalous,4
alustatyö,4
ammatti,4
antiikki,4
arvostus,4
arvottaa,4
ase,4
asene,4
asiallinen,4
aukko,4
autonominen,4
avaus,4
avoimesti,4
avointiede,4
biologia,4
codedtoconnect,4
covid19,4
dosentti,4
edellinen,4
edetä,4
eettisesti,4
ei,4
eläintutkimuknen,4
elämänkulku,4
elämänkulu,4
elinkaari,4
elinkeino,4
elintapa,4
elinvoimainen,4
